Year,Category,Film,Scene,Nominee,Won,Concordance
2024,Outstanding Compositing and Lighting in a Feature,Better Man,,Eva Snyder,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,Better Man,,Markus Reithoffer,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,Kingdom of the Planet of the Apes,,Joerg Bruemmer,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,Kingdom of the Planet of the Apes,,Zachary Brake,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,Kingdom of the Planet of the Apes,,Tim Walker,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,Kingdom of the Planet of the Apes,,Kaustubh A. Patil,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,The Wild Robot,,Sondra L. Verlander,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,The Wild Robot,,Baptiste Van Opstal,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,The Wild Robot,,Eszter Offertaler,FALSE,
2024,Outstanding Compositing and Lighting in a Feature,The Wild Robot,,Austin Casale,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Dune: Part Two,Arrakeen Basin,Daniel Rhein,TRUE,
2024,Outstanding Created Environment in a Photoreal Feature,Dune: Part Two,Arrakeen Basin,Daniel Anton Fernández,TRUE,
2024,Outstanding Created Environment in a Photoreal Feature,Dune: Part Two,Arrakeen Basin,Marc James Austin,TRUE,
2024,Outstanding Created Environment in a Photoreal Feature,Dune: Part Two,Arrakeen Basin,Christopher Anciaume,TRUE,
2024,Outstanding Created Environment in a Photoreal Feature,Civil War,"Washington, D.C.",Matthew Chandler,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Civil War,"Washington, D.C.",James Harmer,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Civil War,"Washington, D.C.",Robert Moore,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Civil War,"Washington, D.C.",Adrien Zeppieri,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Gladiator II,Rome,Oliver Kane,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Gladiator II,Rome,Stefano Farci,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Gladiator II,Rome,John Seru,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Gladiator II,Rome,Frederick Vallee,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Wicked,Emerald City,Alan Lam,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Wicked,Emerald City,Steve Bevins,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Wicked,Emerald City,Deepali Negi,FALSE,
2024,Outstanding Created Environment in a Photoreal Feature,Wicked,Emerald City,Miguel Sánchez López-Ruíz,FALSE,
2024,Outstanding Created Environment in an Animated Feature,The Wild Robot,The Forest,John Wake,TRUE,
2024,Outstanding Created Environment in an Animated Feature,The Wild Robot,The Forest,He Jung Park,TRUE,
2024,Outstanding Created Environment in an Animated Feature,The Wild Robot,The Forest,Woojin Choi,TRUE,
2024,Outstanding Created Environment in an Animated Feature,The Wild Robot,The Forest,Shane Glading,TRUE,
2024,Outstanding Created Environment in an Animated Feature,Kung Fu Panda 4,Juniper City,Benjamin Lippert,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Kung Fu Panda 4,Juniper City,Ryan Prestridge,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Kung Fu Panda 4,Juniper City,Sarah Vawter,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Kung Fu Panda 4,Juniper City,Peter Maynez,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Transformers One,Iacon City,Alex Popescu,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Transformers One,Iacon City,Geoffrey Lebreton,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Transformers One,Iacon City,Ryan Kirby,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Transformers One,Iacon City,Hussein Nabeel,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Wallace & Gromit: Vengeance Most Fowl,Aqueduct,Matt Perry,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Wallace & Gromit: Vengeance Most Fowl,Aqueduct,Dave Alex Riddett,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Wallace & Gromit: Vengeance Most Fowl,Aqueduct,Matt Sanders,FALSE,
2024,Outstanding Created Environment in an Animated Feature,Wallace & Gromit: Vengeance Most Fowl,Aqueduct,Howard Jones,FALSE,
2024,Outstanding Effects Simulations in a Photoreal Feature,Dune: Part Two,Atomic Explosions and Wormriding,Nicholas Papworth,TRUE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Dune: Part Two,Atomic Explosions and Wormriding,Sandy la Tourelle,TRUE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Dune: Part Two,Atomic Explosions and Wormriding,Lisa Nolan,TRUE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Dune: Part Two,Atomic Explosions and Wormriding,Christopher Phillips,TRUE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Kingdom of the Planet of the Apes,"Burning Village, Rapids and Floods",Alex Nowotny,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Kingdom of the Planet of the Apes,"Burning Village, Rapids and Floods",Claude Schitter,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Kingdom of the Planet of the Apes,"Burning Village, Rapids and Floods",Frédéric Valleur,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Kingdom of the Planet of the Apes,"Burning Village, Rapids and Floods",Kevin Kelm,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Twisters,,Matthew Hanger,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Twisters,,Joakim Arnesson,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Twisters,,Laurent Kermel,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Twisters,,Zheng Yong Oh,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Venom: The Last Dance,"Water, Fire & Symbiote Effects",Xavi Martin Ramirez,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Venom: The Last Dance,"Water, Fire & Symbiote Effects",Oscar Dahlen,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Venom: The Last Dance,"Water, Fire & Symbiote Effects",Hedi Namar,FALSE,Effects
2024,Outstanding Effects Simulations in a Photoreal Feature,Venom: The Last Dance,"Water, Fire & Symbiote Effects",Yuri Yang,FALSE,Effects
2024,Outstanding Effects Simulations in an Animated Feature,The Wild Robot,,Derek Cheung,TRUE,
2024,Outstanding Effects Simulations in an Animated Feature,The Wild Robot,,Michael Losure,TRUE,
2024,Outstanding Effects Simulations in an Animated Feature,The Wild Robot,,David Chow,TRUE,
2024,Outstanding Effects Simulations in an Animated Feature,The Wild Robot,,Nyoung Kim,TRUE,
2024,Outstanding Effects Simulations in an Animated Feature,Kung Fu Panda 4,,Jinguang Huang,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Kung Fu Panda 4,,Zhao Wang,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Kung Fu Panda 4,,Hamid Shahsavari,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Kung Fu Panda 4,,Joshua LaBrot,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Moana 2,,Zoran Stojanoski,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Moana 2,,Jesse Erickson,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Moana 2,,Shamintha Kalamba Arachchi,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Moana 2,,Erin V. Ramos,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Ultraman: Rising,,Goncalo Cabaca,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Ultraman: Rising,,Zheng Yong Oh,FALSE,
