Year,Film,Nominee,Source,Category,Won,Concordance
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Erica Rivinoja,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Dan Mazer,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Jena Friedman,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Lee Kern,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Nina Pedrad,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Ma Rainey's Black Bottom,Ruben Santiago-Hudson,The play by August Wilson,Adapted Screenplay,FALSE,Screenplay (Adapted)
2020,News of the World,Paul Greengrass,The novel by Paulette Jiles,Adapted Screenplay,FALSE,Screenplay (Adapted)
2020,News of the World,Luke Davies,The novel by Paulette Jiles,Adapted Screenplay,FALSE,Screenplay (Adapted)
2020,One Night in Miami...,Kemp Powers,The play by Kemp Powers,Adapted Screenplay,FALSE,Screenplay (Adapted)
2020,The White Tiger,Ramin Bahrani,The novel by Aravind Adiga,Adapted Screenplay,FALSE,Screenplay (Adapted)
2020,Promising Young Woman,Emerald Fennell,,Original Screenplay,TRUE,Screenplay (Original)
2020,Judas and the Black Messiah,Will Berson,,Original Screenplay,FALSE,Screenplay (Original)
2020,Judas and the Black Messiah,Shaka King,,Original Screenplay,FALSE,Screenplay (Original)
2020,Judas and the Black Messiah,Kenny Lucas,,Original Screenplay,FALSE,Screenplay (Original)
2020,Judas and the Black Messiah,Keith Lucas,,Original Screenplay,FALSE,Screenplay (Original)
2020,Palm Springs,Andy Siara,,Original Screenplay,FALSE,Screenplay (Original)
2020,Palm Springs,Max Barbakow,,Original Screenplay,FALSE,Screenplay (Original)
2020,Sound of Metal,Darius Marder,,Original Screenplay,FALSE,Screenplay (Original)
2020,Sound of Metal,Abraham Marder,,Original Screenplay,FALSE,Screenplay (Original)
2020,Sound of Metal,Derek Cianfrance,,Original Screenplay,FALSE,Screenplay (Original)
2020,The Trial of the Chicago 7,Aaron Sorkin,,Original Screenplay,FALSE,Screenplay (Original)
2020,The Dissident,Mark Monroe,,Documentary Screenplay,TRUE,
2020,The Dissident,Bryan Fogel,,Documentary Screenplay,TRUE,
2020,All In: The Fight for Democracy,Jack Youngelson,,Documentary Screenplay,FALSE,
2020,Herb Albert Is...,John Scheinfeld,,Documentary Screenplay,FALSE,
2020,Red Penguins,Gabe Polsky,,Documentary Screenplay,FALSE,
2020,Totally Under Control,Alex Gibney,,Documentary Screenplay,FALSE,
2019,Jojo Rabbit,Taika Waititi,The novel Caging Skies by Christine Leunens,Adapted Screenplay,TRUE,Screenplay (Adapted)
2019,A Beautiful Day in the Neighborhood,Micah Fitzerman-Blue,"The article ""Can You Say ... Hero?""by Tom Junod",Adapted Screenplay,FALSE,Screenplay (Adapted)
2019,A Beautiful Day in the Neighborhood,Noah Harpster,"The article ""Can You Say ... Hero?""by Tom Junod",Adapted Screenplay,FALSE,Screenplay (Adapted)
2019,The Irishman,Steven Zaillian,The novel I Heard You Paint Houses by Charles Brandt,Adapted Screenplay,FALSE,Screenplay (Adapted)
2019,Joker,Todd Phillips,The characters from DC Comics,Adapted Screenplay,FALSE,Screenplay (Adapted)
2019,Joker,Scott Silver,The characters from DC Comics,Adapted Screenplay,FALSE,Screenplay (Adapted)
2019,Little Women,Greta Gerwig,The novel by Louisa May Alcott,Adapted Screenplay,FALSE,Screenplay (Adapted)
2019,Parasite,Bong Joon-ho,,Original Screenplay,TRUE,Screenplay (Original)
2019,Parasite,Han Jin-won,,Original Screenplay,TRUE,Screenplay (Original)
2019,1917,Sam Mendes,,Original Screenplay,FALSE,Screenplay (Original)
2019,1917,Krysty Wilson-Cairns,,Original Screenplay,FALSE,Screenplay (Original)
2019,Booksmart,Emily Halpern,,Original Screenplay,FALSE,Screenplay (Original)
2019,Booksmart,Sarah Haskins,,Original Screenplay,FALSE,Screenplay (Original)
2019,Booksmart,Susanna Fogel,,Original Screenplay,FALSE,Screenplay (Original)
2019,Booksmart,Katie Silberman,,Original Screenplay,FALSE,Screenplay (Original)
2019,Knives Out,Rian Johnson,,Original Screenplay,FALSE,Screenplay (Original)
2019,Marriage Story,Noah Baumbach,,Original Screenplay,FALSE,Screenplay (Original)
2019,The Inventor: Out for Blood in Silicon Valley,Alex Gibney,,Documentary Screenplay,TRUE,
2019,Citizen K,Alex Gibney,,Documentary Screenplay,FALSE,
2019,Foster,Mark Jonathan Harris,,Documentary Screenplay,FALSE,
2019,Joseph Pulitzer: Voice of the People,Robert Seidman,,Documentary Screenplay,FALSE,
2019,Joseph Pulitzer: Voice of the People,Oren Rudavsky,,Documentary Screenplay,FALSE,
2019,The Kingmaker,Lauren Greenfield,,Documentary Screenplay,FALSE,
2018,Can You Ever Forgive Me?,Nicole Holofcener,The memoir by Lee Israel,Adapted Screenplay,TRUE,Screenplay (Adapted)
2018,Can You Ever Forgive Me?,Jeff Whitty,The memoir by Lee Israel,Adapted Screenplay,TRUE,Screenplay (Adapted)
2018,Black Panther,Joe Robert Cole,The Marvel Comics by Stan Lee and Jack Kirby,Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,Black Panther,Ryan Coogler,The Marvel Comics by Stan Lee and Jack Kirby,Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,BlacKkKlansman,Spike Lee,The memoir Black Klansman by Ron Stallworth,Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,BlacKkKlansman,David Rabinowitz,The memoir Black Klansman by Ron Stallworth,Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,BlacKkKlansman,Charlie Wachtel,The memoir Black Klansman by Ron Stallworth,Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,BlacKkKlansman,Kevin Willmott,The memoir Black Klansman by Ron Stallworth,Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,If Beale Street Could Talk,Barry Jenkins,The novel by James Baldwin,Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,A Star Is Born,Eric Roth,"The 1954 screenplay by Moss Hart and the 1976 screenplay by John Gregory Dunne & Joan Didionand Frank Pierson, based on a story by William A. Wellman and Robert Carson",Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,A Star Is Born,Bradley Cooper,"The 1954 screenplay by Moss Hart and the 1976 screenplay by John Gregory Dunne & Joan Didionand Frank Pierson, based on a story by William A. Wellman and Robert Carson",Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,A Star Is Born,Will Fetters,"The 1954 screenplay by Moss Hart and the 1976 screenplay by John Gregory Dunne & Joan Didionand Frank Pierson, based on a story by William A. Wellman and Robert Carson",Adapted Screenplay,FALSE,Screenplay (Adapted)
2018,Eighth Grade,Bo Burnham,,Original Screenplay,TRUE,Screenplay (Original)
2018,Green Book,Nick Vallelonga,,Original Screenplay,FALSE,Screenplay (Original)
2018,Green Book,Brian Currie,,Original Screenplay,FALSE,Screenplay (Original)
2018,Green Book,Peter Farrelly,,Original Screenplay,FALSE,Screenplay (Original)
2018,A Quiet Place,Bryan Woods,,Original Screenplay,FALSE,Screenplay (Original)
2018,A Quiet Place,Scott Beck,,Original Screenplay,FALSE,Screenplay (Original)
2018,A Quiet Place,John Krasinski,,Original Screenplay,FALSE,Screenplay (Original)
2018,Roma,Alfonso Cuarón,,Original Screenplay,FALSE,Screenplay (Original)
2018,Vice,Adam McKay,,Original Screenplay,FALSE,Screenplay (Original)
2018,Bathtubs Over Broadway,Ozzy Inguanzo,,Documentary Screenplay,TRUE,
2018,Bathtubs Over Broadway,Dava Whisenant,,Documentary Screenplay,TRUE,
2018,Fahrenheit 11/9,Michael Moore,,Documentary Screenplay,FALSE,
2018,Generation Wealth,Lauren Greenfield,,Documentary Screenplay,FALSE,
2018,In Search of Greatness,Gabe Polsky,,Documentary Screenplay,FALSE,
2017,Call Me by Your Name,James Ivory,The novel by André Aciman,Adapted Screenplay,TRUE,Screenplay (Adapted)
2017,The Disaster Artist,Scott Neustadter,The book by Greg Sestero and Tom Bissell,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,The Disaster Artist,Michael H. Weber,The book by Greg Sestero and Tom Bissell,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,Logan,Scott Frank,The characters from the X-Men comic books and theatrical motion pictures,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,Logan,James Mangold,The characters from the X-Men comic books and theatrical motion pictures,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,Logan,Michael Green,The characters from the X-Men comic books and theatrical motion pictures,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,Molly's Game,Aaron Sorkin,The memoir by Molly Bloom,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,Mudbound,Virgil Williams,The novel by Hillary Jordan,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,Mudbound,Dee Rees,The novel by Hillary Jordan,Adapted Screenplay,FALSE,Screenplay (Adapted)
2017,Get Out,Jordan Peele,,Original Screenplay,TRUE,Screenplay (Original)
2017,The Big Sick,Emily V. Gordon,,Original Screenplay,FALSE,Screenplay (Original)
2017,The Big Sick,Kumail Nanjiani,,Original Screenplay,FALSE,Screenplay (Original)
2017,"I, Tonya",Steven Rogers,,Original Screenplay,FALSE,Screenplay (Original)
2017,Lady Bird,Greta Gerwig,,Original Screenplay,FALSE,Screenplay (Original)
2017,The Shape of Water,Guillermo del Toro,,Original Screenplay,FALSE,Screenplay (Original)
2017,The Shape of Water,Vanessa Taylor,,Original Screenplay,FALSE,Screenplay (Original)
2017,Jane,Brett Morgen,,Documentary Screenplay,TRUE,
2017,Betting on Zero,Ted Braun,,Documentary Screenplay,FALSE,
2017,No Stone Unturned,Alex Gibney,,Documentary Screenplay,FALSE,
2017,Oklahoma City,Barak Goodman,,Documentary Screenplay,FALSE,
2016,Arrival,Eric Heisserer,The novella Story of Your Life by Ted Chiang,Adapted Screenplay,TRUE,Screenplay (Adapted)
2016,Deadpool,Rhett Reese,The X-Men comic book character created by Fabian Nicieza and Rob Liefeld,Adapted Screenplay,FALSE,Screenplay (Adapted)
2016,Deadpool,Paul Wernick,The X-Men comic book character created by Fabian Nicieza and Rob Liefeld,Adapted Screenplay,FALSE,Screenplay (Adapted)
2016,Fences,August Wilson,The play by August Wilson,Adapted Screenplay,FALSE,Screenplay (Adapted)
2016,Hidden Figures,Allison Schroeder,The book by Margot Lee Shetterly,Adapted Screenplay,FALSE,Screenplay (Adapted)
2016,Hidden Figures,Theodore Melfi,The book by Margot Lee Shetterly,Adapted Screenplay,FALSE,Screenplay (Adapted)
2016,Nocturnal Animals,Tom Ford,The novel Tony and Susan by Austin Wright,Adapted Screenplay,FALSE,Screenplay (Adapted)
2016,Moonlight,Barry Jenkins,,Original Screenplay,TRUE,Screenplay (Original)
2016,Moonlight,Tarell Alvin McCraney,,Original Screenplay,TRUE,Screenplay (Original)
2016,Hell or High Water,Taylor Sheridan,,Original Screenplay,FALSE,Screenplay (Original)
2016,La La Land,Damien Chazelle,,Original Screenplay,FALSE,Screenplay (Original)
2016,Loving,Jeff Nichols,,Original Screenplay,FALSE,Screenplay (Original)
2016,Manchester by the Sea,Kenneth Lonergan,,Original Screenplay,FALSE,Screenplay (Original)
2016,Command and Control,Robert Kenner,"The book Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety by Eric Schlosser",Documentary Screenplay,TRUE,
2016,Command and Control,Brian Pearle,"The book Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety by Eric Schlosser",Documentary Screenplay,TRUE,
2016,Command and Control,Kim Roberts,"The book Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety by Eric Schlosser",Documentary Screenplay,TRUE,
2016,Command and Control,Eric Schlosser,"The book Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety by Eric Schlosser",Documentary Screenplay,TRUE,
2016,Author: The JT LeRoy Story,Jeff Feuerzeig,,Documentary Screenplay,FALSE,
2016,Zero Days,Alex Gibney,,Documentary Screenplay,FALSE,
2015,The Big Short,Adam McKay,The book by Michael Lewis,Adapted Screenplay,TRUE,Screenplay (Adapted)
2015,The Big Short,Charles Randolph,The book by Michael Lewis,Adapted Screenplay,TRUE,Screenplay (Adapted)
2015,Carol,Phyllis Nagy,The novel The Price of Salt by Patricia Highsmith,Adapted Screenplay,FALSE,Screenplay (Adapted)
2015,The Martian,Drew Goddard,The novel by Andy Weir,Adapted Screenplay,FALSE,Screenplay (Adapted)
2015,Steve Jobs,Aaron Sorkin,The biography by Walter Isaacson,Adapted Screenplay,FALSE,Screenplay (Adapted)
2015,Trumbo,John McNamara,The biography by Bruce Alexander Cook,Adapted Screenplay,FALSE,Screenplay (Adapted)
2015,Spotlight,Tom McCarthy,,Original Screenplay,TRUE,Screenplay (Original)
2015,Spotlight,Josh Singer,,Original Screenplay,TRUE,Screenplay (Original)
2015,Bridge of Spies,Matt Charman,,Original Screenplay,FALSE,Screenplay (Original)
2015,Bridge of Spies,Joel Coen,,Original Screenplay,FALSE,Screenplay (Original)
2015,Bridge of Spies,Ethan Coen,,Original Screenplay,FALSE,Screenplay (Original)
2015,Sicario,Taylor Sheridan,,Original Screenplay,FALSE,Screenplay (Original)
2015,Straight Outta Compton,Jonathan Herman,,Original Screenplay,FALSE,Screenplay (Original)
2015,Straight Outta Compton,Andrea Berloff,,Original Screenplay,FALSE,Screenplay (Original)
2015,Straight Outta Compton,S. Leigh Savidge,,Original Screenplay,FALSE,Screenplay (Original)
2015,Straight Outta Compton,Alan Wenkus,,Original Screenplay,FALSE,Screenplay (Original)
2015,Trainwreck,Amy Schumer,,Original Screenplay,FALSE,Screenplay (Original)
2015,Going Clear: Scientology and the Prison of Belief,Alex Gibney,,Documentary Screenplay,TRUE,
2015,Being Canadian,Robert Cohen,,Documentary Screenplay,FALSE,
2015,Kurt Cobain: Montage of Heck,Brett Morgen,,Documentary Screenplay,FALSE,
2015,Prophet's Prey,Amy J. Berg,,Documentary Screenplay,FALSE,
2014,The Imitation Game,Graham Moore,The biography Alan Turing: The Enigma by Andrew Hodges,Adapted Screenplay,TRUE,Screenplay (Adapted)
2014,American Sniper,Jason Hall,"The autobiography by Jim DeFelice, Chris Kyleand Scott McEwan",Adapted Screenplay,FALSE,Screenplay (Adapted)
2014,Gone Girl,Gillian Flynn,The novel by Gillian Flynn,Adapted Screenplay,FALSE,Screenplay (Adapted)
2014,Guardians of the Galaxy,James Gunn,The comic by Dan Abnett and Andy Lanning,Adapted Screenplay,FALSE,Screenplay (Adapted)
2014,Guardians of the Galaxy,Nicole Perlman,The comic by Dan Abnett and Andy Lanning,Adapted Screenplay,FALSE,Screenplay (Adapted)
2014,Wild,Nick Hornby,The memoir Wild: From Lost to Found on the Pacific Crest Trail by Cheryl Strayed,Adapted Screenplay,FALSE,Screenplay (Adapted)
2014,The Grand Budapest Hotel,Wes Anderson,,Original Screenplay,TRUE,Screenplay (Original)
2014,The Grand Budapest Hotel,Hugo Guinness,,Original Screenplay,TRUE,Screenplay (Original)
2014,Boyhood,Richard Linklater,,Original Screenplay,FALSE,Screenplay (Original)
2014,Foxcatcher,E. Max Frye,,Original Screenplay,FALSE,Screenplay (Original)
2014,Foxcatcher,Dan Futterman,,Original Screenplay,FALSE,Screenplay (Original)
2014,Nightcrawler,Dan Gilroy,,Original Screenplay,FALSE,Screenplay (Original)
2014,Whiplash,Damien Chazelle,,Original Screenplay,FALSE,Screenplay (Original)
2014,The Internet's Own Boy: The Story of Aaron Swartz,Brian Knappenberger,,Documentary Screenplay,TRUE,
2014,Finding Vivian Maier,John Maloof,,Documentary Screenplay,FALSE,
2014,Finding Vivian Maier,Charlie Siskel,,Documentary Screenplay,FALSE,
2014,Last Days in Vietnam,Mark Bailey,,Documentary Screenplay,FALSE,
2014,Last Days in Vietnam,Kevin McAlester,,Documentary Screenplay,FALSE,
2014,Red Army,Gabe Polsky,,Documentary Screenplay,FALSE,
2013,Captain Phillips,Billy Ray,The book A Captain's Duty by Richard Phillipsand Stephan Talty,Adapted Screenplay,TRUE,Screenplay (Adapted)
2013,August: Osage County,Tracy Letts,The play by Tracy Letts,Adapted Screenplay,FALSE,Screenplay (Adapted)
2013,Before Midnight,Richard Linklater,The characters created by Richard Linklater and Kim Krizan,Adapted Screenplay,FALSE,Screenplay (Adapted)
2013,Before Midnight,Ethan Hawke,The characters created by Richard Linklater and Kim Krizan,Adapted Screenplay,FALSE,Screenplay (Adapted)
2013,Before Midnight,Julie Delpy,The characters created by Richard Linklater and Kim Krizan,Adapted Screenplay,FALSE,Screenplay (Adapted)
2013,Lone Survivor,Peter Berg,The book by Marcus Lutrell and Patrick Robinson,Adapted Screenplay,FALSE,Screenplay (Adapted)
2013,The Wolf of Wall Street,Terence Winter,The memoir by Jordan Belfort,Adapted Screenplay,FALSE,Screenplay (Adapted)
2013,Her,Spike Jonze,,Original Screenplay,TRUE,Screenplay (Original)
2013,American Hustle,Eric Warren Singer,,Original Screenplay,FALSE,Screenplay (Original)
2013,American Hustle,David O. Russell,,Original Screenplay,FALSE,Screenplay (Original)
2013,Blue Jasmine,Woody Allen,,Original Screenplay,FALSE,Screenplay (Original)
2013,Dallas Buyers Club,Craig Borten,,Original Screenplay,FALSE,Screenplay (Original)
2013,Dallas Buyers Club,Melisa Wallack,,Original Screenplay,FALSE,Screenplay (Original)
2013,Nebraska,Bob Nelson,,Original Screenplay,FALSE,Screenplay (Original)
2013,Stories We Tell,Sarah Polley,,Documentary Screenplay,TRUE,
2013,Dirty Wars,Jeremy Scahill,,Documentary Screenplay,FALSE,
2013,Dirty Wars,David Riker,,Documentary Screenplay,FALSE,
2013,Herblock: The Black & The White,Sara Lukinson,,Documentary Screenplay,FALSE,
2013,Herblock: The Black & The White,Michael Stevens,,Documentary Screenplay,FALSE,
2013,No Place on Earth,Janet Tobias,,Documentary Screenplay,FALSE,
2013,No Place on Earth,Paul Laikin,,Documentary Screenplay,FALSE,
2013,We Steal Secrets: The Story of WikiLeaks,Alex Gibney,,Documentary Screenplay,FALSE,
2012,Argo,Chris Terrio,"The book The Master of Disguise by Tony Mendez and the article ""The Great Escape: How the CIA Used a Fake Sci-Fi Flick to Rescue Americans from Tehran"" by Joshuah Bearman",Adapted Screenplay,TRUE,Screenplay (Adapted)
2012,Life of Pi,David Magee,The novel by Yann Martel,Adapted Screenplay,FALSE,Screenplay (Adapted)
2012,Lincoln,Tony Kushner,The book Team of Rivals by Doris Kearns Goodwin,Adapted Screenplay,FALSE,Screenplay (Adapted)
2012,The Perks of Being a Wallflower,Stephen Chbosky,The novel by Stephen Chbosky,Adapted Screenplay,FALSE,Screenplay (Adapted)
2012,Silver Linings Playbook,David O. Russell,The novel by Matthew Quick,Adapted Screenplay,FALSE,Screenplay (Adapted)
2012,Zero Dark Thirty,Mark Boal,,Original Screenplay,TRUE,Screenplay (Original)
2012,Flight,John Gatins,,Original Screenplay,FALSE,Screenplay (Original)
2012,Looper,Rian Johnson,,Original Screenplay,FALSE,Screenplay (Original)
2012,The Master,Paul Thomas Anderson,,Original Screenplay,FALSE,Screenplay (Original)
