Year,Film,Nominee,Source,Category,Won,Concordance
2009,Up in the Air,Jason Reitman,The novel by Walter Kirn,Adapted Screenplay,TRUE,Screenplay (Adapted)
2009,Up in the Air,Sheldon Turner,The novel by Walter Kirn,Adapted Screenplay,TRUE,Screenplay (Adapted)
2009,Crazy Heart,Scott Cooper,The novel by Thomas Cobb,Adapted Screenplay,FALSE,Screenplay (Adapted)
2009,Julie & Julia,Nora Ephron,"The books My Life in France by Julia Child and Alex Prud'homme and Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen by Julie Powell",Adapted Screenplay,FALSE,Screenplay (Adapted)
2009,Precious,Geoffrey S. Fletcher,The novel Push by Sapphire,Adapted Screenplay,FALSE,Screenplay (Adapted)
2009,Star Trek,Roberto Orci,The characters created by Gene Roddenberry,Adapted Screenplay,FALSE,Screenplay (Adapted)
2009,Star Trek,Alex Kurtzman,The characters created by Gene Roddenberry,Adapted Screenplay,FALSE,Screenplay (Adapted)
2009,The Hurt Locker,Mark Boal,,Original Screenplay,TRUE,Screenplay (Original)
2009,(500) Days of Summer,Scott Neustadter,,Original Screenplay,FALSE,Screenplay (Original)
2009,(500) Days of Summer,Michael H. Weber,,Original Screenplay,FALSE,Screenplay (Original)
2009,Avatar,James Cameron,,Original Screenplay,FALSE,Screenplay (Original)
2009,The Hangover,Jon Lucas,,Original Screenplay,FALSE,Screenplay (Original)
2009,The Hangover,Scott Moore,,Original Screenplay,FALSE,Screenplay (Original)
2009,A Serious Man,Joel Coen,,Original Screenplay,FALSE,Screenplay (Original)
2009,A Serious Man,Ethan Coen,,Original Screenplay,FALSE,Screenplay (Original)
2009,The Cove,Mark Monroe,,Documentary Screenplay,TRUE,
2009,Against the Tide,Richard Trank,Original material written by Richard Trank and Rabbi Marvin Hier,Documentary Screenplay,FALSE,
2009,Capitalism: A Love Story,Michael Moore,,Documentary Screenplay,FALSE,
2009,Earth Days,Robert Stone,,Documentary Screenplay,FALSE,
2009,Good Hair,Chris Rock,,Documentary Screenplay,FALSE,
2009,Good Hair,Jeff Stilson,,Documentary Screenplay,FALSE,
2009,Good Hair,Lance Crouther,,Documentary Screenplay,FALSE,
2009,Good Hair,Chuck Sklar,,Documentary Screenplay,FALSE,
2009,Soundtrack for a Revolution,Bill Guttentag,,Documentary Screenplay,FALSE,
2009,Soundtrack for a Revolution,Dan Sturman,,Documentary Screenplay,FALSE,
2008,Slumdog Millionaire,Simon Beaufoy,The novel Q & A by Vikas Swarup,Adapted Screenplay,TRUE,Screenplay (Adapted)
2008,The Curious Case of Benjamin Button,Eric Roth,The short story by F. Scott Fitzgerald,Adapted Screenplay,FALSE,Screenplay (Adapted)
