Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2012,Best Short Film,Live-Action Short Film,Swimmer,,,Peter Carlton,TRUE,,,
2012,Best Short Film,Live-Action Short Film,Swimmer,,,Diarmid Scrimshaw,TRUE,,,
2012,Best Short Film,Live-Action Short Film,The Curse,,,Fyzal Boulifa,FALSE,,,
2012,Best Short Film,Live-Action Short Film,Good Night,,,Muriel d'Ansembourg,FALSE,,,
2012,Best Short Film,Live-Action Short Film,Good Night,,,Eva Sigurdardottir,FALSE,,,
2012,Best Short Film,Live-Action Short Film,Tumult,,,Rhianna Andrews,FALSE,,,
2012,Best Short Film,Live-Action Short Film,Tumult,,,Johnny Barrington,FALSE,,,
2012,Best Short Film,Live-Action Short Film,The Voorman Problem,,,Lee Thomas,FALSE,,,
2012,Best Short Film,Live-Action Short Film,The Voorman Problem,,,David Mitchell,FALSE,,,
2012,Best Short Film,Live-Action Short Film,The Voorman Problem,,,Baldwin Li,FALSE,,,
2012,Best Short Film,Live-Action Short Film,The Voorman Problem,,,Mark Gill,FALSE,,,
2012,Best Short Animation,Animated Short Film,The Making Of Longbird,,,Will Anderson,TRUE,,,
2012,Best Short Animation,Animated Short Film,The Making Of Longbird,,,Ainslie Henderson,TRUE,,,
2012,Best Short Animation,Animated Short Film,Here To Fall,,,Kris Kelly,FALSE,,,
2012,Best Short Animation,Animated Short Film,Here To Fall,,,Evelyn McGrath,FALSE,,,
2012,Best Short Animation,Animated Short Film,I’m Fine Thanks,,,Eamonn O'Neill,FALSE,,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,The Imposter,,,Bart Layton,TRUE,director,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,The Imposter,,,Dimitri Doganis,TRUE,producer,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,I Am Nasrine,,,Tina Gharavi,FALSE,writer,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,I Am Nasrine,,,Tina Gharavi,FALSE,director,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,McCullin,,,David Morris,FALSE,director,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,McCullin,,,Jacqui Morris,FALSE,director,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,McCullin,,,Jacqui Morris,FALSE,producer,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,The Muppets,,,James Bobin,FALSE,director,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,Wild Bill,,,Dexter Fletcher,FALSE,writer,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,Wild Bill,,,Dexter Fletcher,FALSE,director,,
2012,"Outstanding Début by a British Writer, Director, or Producer",,Wild Bill,,,Danny King,FALSE,writer,,
2012,Best Direction,Director,Argo,,,Ben Affleck,TRUE,,,
2012,Best Direction,Director,Zero Dark Thirty,,,Kathryn Bigelow,FALSE,,,
2012,Best Direction,Director,Amour,,,Michael Haneke,FALSE,,,
2012,Best Direction,Director,Life of Pi,,,Ang Lee,FALSE,,,
2012,Best Direction,Director,Django Unchained,,,Quentin Tarantino,FALSE,,,
