Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2013,Best Documentary,Documentary Film,The Act of Killing,,,Joshua Oppenheimer,TRUE,,,
2013,Best Documentary,Documentary Film,The Armstrong Lie,,,Alex Gibney,FALSE,,,
2013,Best Documentary,Documentary Film,Blackfish,,,Gabriela Cowperthwaite,FALSE,,,
2013,Best Documentary,Documentary Film,Tim's Vermeer,,,Teller,FALSE,,,
2013,Best Documentary,Documentary Film,Tim's Vermeer,,,Penn Jillette,FALSE,,,
2013,Best Documentary,Documentary Film,Tim's Vermeer,,,Farley Ziegler,FALSE,,,
2013,Best Documentary,Documentary Film,We Steal Secrets: The Story of WikiLeaks,,,Alex Gibney,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Room 8,,,James W. Griffiths,TRUE,,,
2013,Best Short Film,Live-Action Short Film,Room 8,,,Sophie Venner,TRUE,,,
2013,Best Short Film,Live-Action Short Film,Island Queen,,,Ben Mallaby,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Island Queen,,,Emma Hughes,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Island Queen,,,Nat Luurtsema,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Keeping Up with the Joneses,,,Michael Pearce,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Keeping Up with the Joneses,,,Megan Rubens,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Keeping Up with the Joneses,,,Selina Lim,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Orbit Ever After,,,Jamie Magnus Stone,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Orbit Ever After,,,Chee-Lan Chan,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Orbit Ever After,,,Len Rowles,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Sea View,,,Anna Duffield,FALSE,,,
2013,Best Short Film,Live-Action Short Film,Sea View,,,Jane Linfoot,FALSE,,,
2013,Best Short Animation,Animated Short Film,Sleeping With The Fishes,,,Yousif Al-Khalifa,TRUE,,,
2013,Best Short Animation,Animated Short Film,Sleeping With The Fishes,,,James Walker,TRUE,,,
2013,Best Short Animation,Animated Short Film,Sleeping With The Fishes,,,Sarah Woolner,TRUE,,,
