Year,Category,Film,Nominee,Song_Title,Won,Concordance
2019,Best Studio Film Score,Us,Michael Abels,,FALSE,Original Score
2019,Best Studio Film Score,Jojo Rabbit,Michael Giacchino,,FALSE,Original Score
2019,Best Studio Film Score,Joker,Hildur Guðnadóttir,,TRUE,Original Score
2019,Best Studio Film Score,How to Train Your Dragon: The Hidden World,John Powell,,FALSE,Original Score
2019,Best Studio Film Score,Avengers: Endgame,Alan Silvestri,,FALSE,Original Score
2019,Best Independent Film Score,The Biggest Little Farm,Jeff Beal,,FALSE,Original Score
2019,Best Independent Film Score,Toni Morrison: The Pieces I Am,Kathryn Bostic,,TRUE,Original Score
2019,Best Independent Film Score,Pain and Glory,Alberto Iglesias,,FALSE,Original Score
2019,Best Independent Film Score,The Song of Names,Howard Shore,,FALSE,Original Score
2019,Best Independent Film Score,Judy,Gabriel Yared,,FALSE,Original Score
2019,Best Song for Visual Media,Frozen II,Kristen Anderson-López,Into the Unknown,FALSE,Original Song
2019,Best Song for Visual Media,Frozen II,Robert López,Into the Unknown,FALSE,Original Song
2019,Best Song for Visual Media,Toni Morrison: The Pieces I Am,Kathryn Bostic,High above the Water,FALSE,Original Song
2019,Best Song for Visual Media,Harriet,Joshuah Brian Campbell,Stand Up,TRUE,Original Song
2019,Best Song for Visual Media,Harriet,Cynthia Erivo,Stand Up,TRUE,Original Song
2019,Best Song for Visual Media,Aladdin,Justin Paul,Speechless,FALSE,Original Song
2019,Best Song for Visual Media,Aladdin,Benj Pasek,Speechless,FALSE,Original Song
2019,Best Song for Visual Media,Aladdin,Alan Menken,Speechless,FALSE,Original Song
2019,Best Song for Visual Media,Breakthrough,Dianne Warren,I'm Standing with You,FALSE,Original Song
2025,Outstanding Original Score for a Studio Film,Sinners,Ludwig Göransson,,FALSE,Original Score
2025,Outstanding Original Score for a Studio Film,Frankenstein,Alexandre Desplat,,FALSE,Original Score
2025,Outstanding Original Score for a Studio Film,One Battle After Another,Jonny Greenwood,,FALSE,Original Score
2025,Outstanding Original Score for a Studio Film,Wicked: For Good,Stephen Schwartz,,FALSE,Original Score
2025,Outstanding Original Score for a Studio Film,Wicked: For Good,John Powell,,FALSE,Original Score
2025,Outstanding Original Score for a Studio Film,Hamnet,Max Richter,,FALSE,Original Score
2025,Outstanding Original Score for a Studio Film,Bugonia,Jerskin Fendrix,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,Straw,Dara Taylor,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,Train Dreams,Bryce Dessner,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,Eternity,David Fleming,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,Out of the Nest,Fabrizio Mancinelli,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,Rental Family,Jónsi,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,Rental Family,Alex Somers,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,To Kill a Wolf,Sara Barone,,FALSE,Original Score
2025,Outstanding Original Score for an Independent Film,To Kill a Wolf,Forest Christenson,,FALSE,Original Score
2025,Outstanding Original Score for a Television Production,Severance,Theodore Shapiro,,FALSE,
2025,Outstanding Original Score for a Television Production,The Studio,Antonio Sánchez,,FALSE,
2025,Outstanding Original Score for a Television Production,Andor,Brandon Roberts,,FALSE,
2025,Outstanding Original Score for a Television Production,Pluribus,Dave Porter,,FALSE,
2025,Outstanding Original Score for a Television Production,The White Lotus,Cristobal Tapia de Veer,,FALSE,
2025,Outstanding Original Score for a Television Production,The Last of Us,David Fleming,,FALSE,
2025,Outstanding Original Score for a Television Production,The Last of Us,Gustavo Santaolalla,,FALSE,
2025,Outstanding Original Title Sequence for a Television Production,The White Lotus,Cristobal Tapia de Veer,,FALSE,
2025,Outstanding Original Title Sequence for a Television Production,Dept. Q,Carlos Rafael Rivera,,FALSE,
2025,Outstanding Original Title Sequence for a Television Production,Pluribus,Dave Porter,,FALSE,
2025,Outstanding Original Title Sequence for a Television Production,The Beast in Me,Sean Callery,,FALSE,
2025,Outstanding Original Title Sequence for a Television Production,Murderbot,Amanda Jones,,FALSE,
2025,Outstanding Original Title Sequence for a Television Production,All Her Fault,Jeff Beal,,FALSE,
2025,Outstanding Original Score for Interactive Media,Sword of the Sea,Austin Wintory,,FALSE,
2025,Outstanding Original Score for Interactive Media,Indiana Jones and the Great Circle: The Order of the Giants,Gordy Haab,,FALSE,
2025,Outstanding Original Score for Interactive Media,Star Wars Outlaws: A Pirate's Fortune,Wilbert Roget II,,FALSE,
2025,Outstanding Original Score for Interactive Media,Star Wars Outlaws: A Pirate's Fortune,Cody Matthew Johnson,,FALSE,
2025,Outstanding Original Score for Interactive Media,Star Wars Outlaws: A Pirate's Fortune,Jon Everist,,FALSE,
2025,Outstanding Original Score for Interactive Media,Wildgate,Maclaine Diemer,,FALSE,
2025,David Raksin Award for Emerging Talent,Washington Black,Cameron Moody,,FALSE,
2025,David Raksin Award for Emerging Talent,Laws of Man,Chin-Shan Chang,,FALSE,
2025,David Raksin Award for Emerging Talent,A Nice Indian Boy,Raashi Kulkarni,,FALSE,
2025,David Raksin Award for Emerging Talent,Dr. Seuss's The Sneetches,Greg Nicolett,,FALSE,
2025,David Raksin Award for Emerging Talent,Ride or Die,Freya Berkhout,,FALSE,
2025,David Raksin Award for Emerging Talent,The Map That Leads to You,Sara Trevino,,FALSE,
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Diane Warren: Relentless,Diane Warren,Dear Me,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Sinners,Alice Smith,Last Time (I Seen the Sun),FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Sinners,Miles Caton,Last Time (I Seen the Sun),FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Sinners,Ludwig Göransson,Last Time (I Seen the Sun),FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Sinners,Raphael Saadiq,I Lied to You,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Sinners,Ludwig Göransson,I Lied to You,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Come See Me in the Good Light,Sara Bareilles,Salt Then Sour Then Sweet,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Come See Me in the Good Light,Brandi Carlile,Salt Then Sour Then Sweet,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Come See Me in the Good Light,Andrea Gibson,Salt Then Sour Then Sweet,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Wheel of Time,Nikhil Koparkar,The Hills of Tanchico,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Wheel of Time,Rammy Park,The Hills of Tanchico,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,F1,Ed Sheeran,Drive,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,F1,Blake Slatkin,Drive,FALSE,Original Song
2025,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,F1,John Mayer,Drive,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,KPop Demon Hunters,Ejae,Golden,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,KPop Demon Hunters,Mark Sonnenblick,Golden,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,Wicked: For Good,Stephen Schwartz,No Place Like Home,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,Wicked: For Good,Stephen Schwartz,The Girl in the Bubble,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,A Minecraft Movie,Jack Black,Steve's Lava Chicken,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,A Minecraft Movie,Jared Hess,Steve's Lava Chicken,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,A Minecraft Movie,Mark Ronson,I Feel Alive,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,A Minecraft Movie,Andrew Wyatt,I Feel Alive,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,A Minecraft Movie,Jack Black,I Feel Alive,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,Zootopia 2,Blake Slatkin,Zoo,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,Zootopia 2,Shakira,Zoo,FALSE,Original Song
2025,Outstanding Original Song for a Comedy or Musical Visual Media Production,Zootopia 2,Ed Sheeran,Zoo,FALSE,Original Song
