Nominee,Film,Category,Year,Show,Concordance,Won
Big Bill Morganfield,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Boyd Holbrook,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Dan Fogler,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Edward Norton,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Elle Fanning,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Eriko Hatsune,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Monica Barbaro,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Norbert Leo Butz,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Scoot McNairy,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Timothée Chalamet,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Will Harrison,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Aleksey Serebryakov,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Karren Karagulian,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Mark Eydelshteyn,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Mikey Madison,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Vache Tovmasyan,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Yura Borisov,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Isabella Rossellini,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
John Lithgow,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Lucian Msamati,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Ralph Fiennes,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Sergio Castellitto,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Stanley Tucci,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Adriana Paz,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Karla Sofía Gascón,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Selena Gomez,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Zoe Saldaña,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Ariana Grande,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Bowen Yang,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Cynthia Erivo,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Ethan Slater,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Jeff Goldblum,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Jonathan Bailey,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Marissa Bode,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Michelle Yeoh,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Peter Dinklage,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Chris Perfetti,Abbott Elementary,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Janelle James,Abbott Elementary,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Lisa Ann Walter,Abbott Elementary,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Quinta Brunson,Abbott Elementary,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Sheryl Lee Ralph,Abbott Elementary,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Tyler James Williams,Abbott Elementary,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
William Stanford Davis,Abbott Elementary,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Carl Clemons-Hopkins,Hacks,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Hannah Einbinder,Hacks,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Jean Smart,Hacks,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Mark Indelicato,Hacks,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Megan Stalter,Hacks,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Paul W. Downs,Hacks,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Rose Abdoo,Hacks,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Eugene Levy,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Eva Longoria,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Kumail Nanjiani,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Martin Short,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Michael Cyril Creighton,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Molly Shannon,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Richard Kind,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Selena Gomez,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Steve Martin,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
Zach Galifianakis,Only Murders In The Building,Ensemble In A Comedy Series,2024,31st Annual,,TRUE
,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Brett Goldstein,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Christa Miller,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Devin Kawaoka,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Gavin Lewis,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Harrison Ford,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Jason Segel,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Jessica Williams,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Luke Tennie,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Lukita Maxwell,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Michael Urie,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Rachel Stubington,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Ted Mcginley,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Wendie Malick,Shrinking,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Abby Elliott,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Ayo Edebiri,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Corey Hendrix,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Ebon Moss-Bachrach,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Edwin Lee Gibson,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Jeremy Allen White,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Lionel Boyce,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Liza Colón-Zayas,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Matty Matheson,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Ricky Staffieri,The Bear,Ensemble In A Comedy Series,2024,31st Annual,,FALSE
Adjoa Andoh,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Anna Wilson-Jones,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Banita Sandhu,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Bessie Carter,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Caleb Obediah,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Claudia Jessie,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Daniel Francis,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Dominic Coleman,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Emma Naomi,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Florence Hunt,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Genevieve Chenneour,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Geraldine Alexander,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Golda Rosheuvel,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Hannah Dodd,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Hannah New,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Harriet Cains,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Hugh Sachs,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
James Bryan,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
James Phoon,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Jessica Madsen,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Joanna Bobin,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Joe Barnes,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Jonathan Bailey,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Julie Andrews,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Kitty Devlin,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Lorn Macdonald,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Lorraine Ashbourne,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Luke Newton,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Luke Thompson,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Martins Imhangbe,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Molly Jackson-Shaw,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Nicola Coughlan,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Polly Walker,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Rosa Hesmondhalgh,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Ruth Gemmell,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Sesley Hope,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Simone Ashley,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Sophie Woolley,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Victor Alli,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Vineeta Rishi,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Will Tilston,Bridgerton,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Anna Sawai,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Cosmo Jarvis,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Fumi Nikaido,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Hiromoto Ida,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Hiroto Kanai,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Hiroyuki Sanada,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Moeka Hoshi,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Shinnosuke Abe,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Tadanobu Asano,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Takehiro Hira,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Takeshi Kurokawa,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Tokuma Nishioka,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Tommy Bastow,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Yuki Kura,Shōgun,Ensemble In A Drama Series,2024,31st Annual,,TRUE
Aimee-Ffion Edwards,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Christopher Chung,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Gary Oldman,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Hugo Weaving,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Jack Lowden,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
James Callis,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Joanna Scanlan,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Jonathan Pryce,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Kadiff Kirwan,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Kristin Scott Thomas,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Naomi Wirthner,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Rosalind Eleazar,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Ruth Bradley,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Saskia Reeves,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Sean Gilder,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Tom Brooke,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Tom Wozniczka,Slow Horses,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Ben Hall,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Charles Dance,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Chukwudi Iwuji,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Eddie Redmayne,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Eleanor Matsuura,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Jon Arias,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Jonjo O'neill,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Khalid Abdalla,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Lashana Lynch,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Nick Blood,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Patrick Kennedy,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Puchi Lagarde,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Sule Rimi,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Úrsula Corberó,The Day Of The Jackal,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Adam Silver,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Ali Ahn,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Ato Essandoh,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Celia Imrie,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
David Gyasi,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Graham Miller,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Kenichiro Thomson,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Keri Russell,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Lia Williams,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Nana Mensah,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Pearl Mackie,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Penny Downie,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Rory Kinnear,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Rufus Sewell,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Sandy Amon-Schwartz,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Tim Delap,The Diplomat,Ensemble In A Drama Series,2024,31st Annual,,FALSE
Quinta Brunson,Abbott Elementary,Female Actor In A Comedy Series,2024,31st Annual,,FALSE
Jean Smart,Hacks,Female Actor In A Comedy Series,2024,31st Annual,,TRUE
Kristen Bell,Nobody Wants This,Female Actor In A Comedy Series,2024,31st Annual,,FALSE
Ayo Edebiri,The Bear,Female Actor In A Comedy Series,2024,31st Annual,,FALSE
Liza Colón-Zayas,The Bear,Female Actor In A Comedy Series,2024,31st Annual,,FALSE
Nicola Coughlan,Bridgerton,Female Actor In A Drama Series,2024,31st Annual,,FALSE
Kathy Bates,Matlock,Female Actor In A Drama Series,2024,31st Annual,,FALSE
Anna Sawai,Shōgun,Female Actor In A Drama Series,2024,31st Annual,,TRUE
Allison Janney,The Diplomat,Female Actor In A Drama Series,2024,31st Annual,,FALSE
Keri Russell,The Diplomat,Female Actor In A Drama Series,2024,31st Annual,,FALSE
Mikey Madison,Anora,Female Actor In A Leading Role,2024,31st Annual,Actress in a Leading Role,FALSE
Karla Sofía Gascón,Emilia Pérez,Female Actor In A Leading Role,2024,31st Annual,Actress in a Leading Role,FALSE
Pamela Anderson,The Last Showgirl,Female Actor In A Leading Role,2024,31st Annual,Actress in a Leading Role,FALSE
Demi Moore,The Substance,Female Actor In A Leading Role,2024,31st Annual,Actress in a Leading Role,TRUE
Cynthia Erivo,Wicked,Female Actor In A Leading Role,2024,31st Annual,Actress in a Leading Role,FALSE
Mónica Barbaro,A Complete Unknown,Female Actor In A Supporting Role,2024,31st Annual,Actress in a Supporting Role,FALSE
Zoe Saldaña,Emilia Pérez,Female Actor In A Supporting Role,2024,31st Annual,Actress in a Supporting Role,TRUE
Jamie Lee Curtis,The Last Showgirl,Female Actor In A Supporting Role,2024,31st Annual,Actress in a Supporting Role,FALSE
Danielle Deadwyler,The Piano Lesson,Female Actor In A Supporting Role,2024,31st Annual,Actress in a Supporting Role,FALSE
Ariana Grande,Wicked,Female Actor In A Supporting Role,2024,31st Annual,Actress in a Supporting Role,FALSE
Jessica Gunning,Baby Reindeer,Female Actor In A Television Movie Or Limited Series,2024,31st Annual,,TRUE
Cate Blanchett,Disclaimer,Female Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Kathy Bates,The Great Lillian Hall,Female Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Cristin Milioti,The Penguin,Female Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Jodi Foster,True Detective: Night Country,Female Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Lily Gladstone,Under The Bridge,Female Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Ted Danson,A Man On The Inside,Male Actor In A Comedy Series,2024,31st Annual,,FALSE
Adam Brody,Nobody Wants This,Male Actor In A Comedy Series,2024,31st Annual,,FALSE
Martin Short,Only Murders In The Building,Male Actor In A Comedy Series,2024,31st Annual,,TRUE
Harrison Ford,Shrinking,Male Actor In A Comedy Series,2024,31st Annual,,FALSE
Jeremy Allen White,The Bear,Male Actor In A Comedy Series,2024,31st Annual,,FALSE
Hiroyuki Sanada,Shōgun,Male Actor In A Drama Series,2024,31st Annual,,TRUE
Tadanobu Asano,Shōgun,Male Actor In A Drama Series,2024,31st Annual,,FALSE
Gary Oldman,Slow Horses,Male Actor In A Drama Series,2024,31st Annual,,FALSE
Eddie Redmayne,The Day Of The Jackal,Male Actor In A Drama Series,2024,31st Annual,,FALSE
Jeff Bridges,The Old Man,Male Actor In A Drama Series,2024,31st Annual,,FALSE
Timothée Chalamet,A Complete Unknown,Male Actor In A Leading Role,2024,31st Annual,Actor in a Leading Role,TRUE
Ralph Fiennes,Conclave,Male Actor In A Leading Role,2024,31st Annual,Actor in a Leading Role,FALSE
Daniel Craig,Queer,Male Actor In A Leading Role,2024,31st Annual,Actor in a Leading Role,FALSE
Colman Domingo,Sing Sing,Male Actor In A Leading Role,2024,31st Annual,Actor in a Leading Role,FALSE
Adrien Brody,The Brutalist,Male Actor In A Leading Role,2024,31st Annual,Actor in a Leading Role,FALSE
Edward Norton,A Complete Unknown,Male Actor In A Supporting Role,2024,31st Annual,Actor in a Supporting Role,FALSE
Kieran Culkin,A Real Pain,Male Actor In A Supporting Role,2024,31st Annual,Actor in a Supporting Role,TRUE
Yura Borisov,Anora,Male Actor In A Supporting Role,2024,31st Annual,Actor in a Supporting Role,FALSE
Jeremy Strong,The Apprentice,Male Actor In A Supporting Role,2024,31st Annual,Actor in a Supporting Role,FALSE
Jonathan Bailey,Wicked,Male Actor In A Supporting Role,2024,31st Annual,Actor in a Supporting Role,FALSE
Richard Gadd,Baby Reindeer,Male Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Kevin Kline,Disclaimer,Male Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Javier Bardem,Monsters: The Lyle And Erik Menendez Story,Male Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Andrew Scott,Ripley,Male Actor In A Television Movie Or Limited Series,2024,31st Annual,,FALSE
Colin Farrell,The Penguin,Male Actor In A Television Movie Or Limited Series,2024,31st Annual,,TRUE
,Deadpool & Wolverine,Stunt Ensemble In A Motion Picture,2024,31st Annual,,FALSE
,Dune: Part Two,Stunt Ensemble In A Motion Picture,2024,31st Annual,,FALSE
,Gladiator Ii,Stunt Ensemble In A Motion Picture,2024,31st Annual,,FALSE
,The Fall Guy,Stunt Ensemble In A Motion Picture,2024,31st Annual,,TRUE
,Wicked,Stunt Ensemble In A Motion Picture,2024,31st Annual,,FALSE
,Fallout,Stunt Ensemble In A Television Series,2024,31st Annual,,FALSE
,House Of The Dragon,Stunt Ensemble In A Television Series,2024,31st Annual,,FALSE
,Shōgun,Stunt Ensemble In A Television Series,2024,31st Annual,,TRUE
,The Boys,Stunt Ensemble In A Television Series,2024,31st Annual,,FALSE
,The Penguin,Stunt Ensemble In A Television Series,2024,31st Annual,,FALSE
,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Adam Brody,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Erika Alexander,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Issa Rae,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Jeffrey Wright,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
John Ortiz,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Keith David,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Leslie Uggams,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Sterling K. Brown,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
Tracee Ellis Ross,American Fiction,Cast In A Motion Picture,2023,30th Annual,,FALSE
,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
America Ferrera,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Ariana Greenblatt,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Helen Mirren,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Issa Rae,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Kate Mckinnon,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Margot Robbie,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Michael Cera,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Rhea Perlman,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Ryan Gosling,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
Will Ferrell,Barbie,Cast In A Motion Picture,2023,30th Annual,,FALSE
,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
Brendan Fraser,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
Jesse Plemons,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
John Lithgow,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
Leonardo Dicaprio,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
Lily Gladstone,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
Robert De Niro,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
Tantoo Cardinal,Killers Of The Flower Moon,Cast In A Motion Picture,2023,30th Annual,,FALSE
,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Casey Affleck,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Cillian Murphy,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Emily Blunt,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Florence Pugh,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Josh Hartnett,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Kenneth Branagh,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Matt Damon,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Rami Malek,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
Robert Downey Jr.,Oppenheimer,Cast In A Motion Picture,2023,30th Annual,,TRUE
,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Ciara,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Aunjanue Ellis-Taylor,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Colman Domingo,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Corey Hawkins,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Danielle Brooks,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Fantasia Barrino,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
"Gabriella Wilson ""H.e.r.""",The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Halle Bailey,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Jon Batiste,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
"Louis Gossett, Jr.",The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Phylicia Pearl Mpasi,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
Taraji P. Henson,The Color Purple,Cast In A Motion Picture,2023,30th Annual,,FALSE
,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Chris Perfetti,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Janelle James,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Lisa Ann Walter,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Quinta Brunson,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Sheryl Lee Ralph,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Tyler James Williams,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
William Stanford Davis,Abbott Elementary,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
,Barry,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Andre Hyland,Barry,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Anthony Carrigan,Barry,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
Bill Hader,Barry,Ensemble In A Comedy Series,2023,30th Annual,,FALSE
